SKU,Product Name,Brand,Category,Sub-Category,Package Size,MRP (INR),Standard Selling Price (INR),Description,Real Image URL
GCPL-GK-001,Goodknight Gold Flash Mosquito Vapouriser Machine + 1 Refill,Goodknight,Home Care,Household Insecticides,1 Kit,120.00,109.00,Advanced automatic mosquito liquid vaporiser machine with flash mode and active refill,https://www.bigbasket.com/media/uploads/p/l/40189047_1-good-knight-gold-flash-mosquito-vapouriser-machine-refill.jpg
GCPL-GK-002,Goodknight Gold Flash Mosquito Liquid Refill,Goodknight,Home Care,Household Insecticides,45 ml,90.00,85.00,Gold flash liquid vaporizer refill for high efficacy protection against mosquitoes,https://www.bigbasket.com/media/uploads/p/l/40189048_1-good-knight-gold-flash-mosquito-vapouriser-refill.jpg
GCPL-GK-003,Goodknight Gold Flash Liquid Refill (Pack of 2),Goodknight,Home Care,Household Insecticides,2 x 45 ml,175.00,160.00,Double saver pack of gold flash liquid vaporizer refills for continuous safety,https://www.bigbasket.com/media/uploads/p/l/40189049_1-good-knight-gold-flash-mosquito-vapouriser-refill-pack-of-2.jpg
GCPL-GK-004,Goodknight Gold Flash Liquid Refill (Pack of 3),Goodknight,Home Care,Household Insecticides,3 x 45 ml,250.00,230.00,Triple saver family pack of gold flash liquid refills,https://www.bigbasket.com/media/uploads/p/l/40189050_1-good-knight-gold-flash-mosquito-vapouriser-refill-pack-of-3.jpg
GCPL-GK-005,Goodknight Gold Flash Liquid Refill (Pack of 4),Goodknight,Home Care,Household Insecticides,4 x 45 ml,320.00,295.00,Super saver box containing 4 gold flash refills,https://www.bigbasket.com/media/uploads/p/l/40189051_1-good-knight-gold-flash-mosquito-vapouriser-refill-pack-of-4.jpg
GCPL-GK-006,Goodknight Gold Flash Liquid Refill (Pack of 6),Goodknight,Home Care,Household Insecticides,6 x 45 ml,470.00,430.00,Mega bumper box containing 6 gold flash refills for complete season protection,https://www.bigbasket.com/media/uploads/p/l/40189052_1-good-knight-gold-flash-mosquito-vapouriser-refill-pack-of-6.jpg
GCPL-GK-007,Goodknight Power Activ+ Liquid Vapouriser Machine + 1 Refill,Goodknight,Home Care,Household Insecticides,1 Kit,100.00,89.00,Dual-mode mosquito repellent machine with power activ+ advanced formula,https://www.bigbasket.com/media/uploads/p/l/266511_10-good-knight-power-activ-mosquito-liquid-vapouriser.jpg
GCPL-GK-008,Goodknight Power Activ+ Liquid Refill,Goodknight,Home Care,Household Insecticides,45 ml,85.00,78.00,Standard dual-mode power activ+ refill for complete household protection,https://www.bigbasket.com/media/uploads/p/l/266512_10-good-knight-power-activ-mosquito-liquid-vapouriser-refill.jpg
GCPL-GK-009,Goodknight Power Activ+ Liquid Refill (Pack of 2),Goodknight,Home Care,Household Insecticides,2 x 45 ml,160.00,148.00,Twin pack of power activ+ liquid refills with dual active action,https://www.bigbasket.com/media/uploads/p/l/266513_10-good-knight-power-activ-mosquito-liquid-vapouriser-refill-pack-of-2.jpg
GCPL-GK-010,Goodknight Power Activ+ Liquid Refill (Pack of 3),Goodknight,Home Care,Household Insecticides,3 x 45 ml,230.00,210.00,Value triple pack of power activ+ liquid refills,https://www.bigbasket.com/media/uploads/p/l/266514_10-good-knight-power-activ-mosquito-liquid-vapouriser-refill-pack-of-3.jpg
GCPL-GK-011,Goodknight Power Activ+ Liquid Refill (Pack of 4),Goodknight,Home Care,Household Insecticides,4 x 45 ml,295.00,270.00,Value-driven pack of four power activ+ dual refills,https://www.bigbasket.com/media/uploads/p/l/266515_10-good-knight-power-activ-mosquito-liquid-vapouriser-refill-pack-of-4.jpg
GCPL-GK-012,Goodknight Power Activ+ Liquid Refill (Pack of 6),Goodknight,Home Care,Household Insecticides,6 x 45 ml,430.00,390.00,Season bulk saver box containing six power activ+ refills,https://www.bigbasket.com/media/uploads/p/l/266516_10-good-knight-power-activ-mosquito-liquid-vapouriser-refill-pack-of-6.jpg
GCPL-GK-013,Goodknight Fast Card Mosquito Repellent,Goodknight,Home Care,Household Insecticides,10 Cards,15.00,15.00,Instant action 3-minute paper mosquito card repellent,https://www.bigbasket.com/media/uploads/p/l/266514_2-good-knight-fast-card.jpg
GCPL-GK-014,Goodknight Fast Card Mosquito Repellent (Pack of 2),Goodknight,Home Care,Household Insecticides,20 Cards,30.00,28.00,Twin pack of instant action 3-minute paper cards,https://www.bigbasket.com/media/uploads/p/l/266515_2-good-knight-fast-card-pack-of-2.jpg
GCPL-GK-015,Goodknight Fast Card Mosquito Repellent (Pack of 5),Goodknight,Home Care,Household Insecticides,50 Cards,75.00,70.00,Multi-pack of five 10-card booklets for long lasting protection,https://www.bigbasket.com/media/uploads/p/l/266516_2-good-knight-fast-card-pack-of-5.jpg
GCPL-GK-016,Goodknight Maha Jumbo Mosquito Coil,Goodknight,Home Care,Household Insecticides,10 Coils,38.00,36.00,12-hour protection low smoke red coil against mosquitoes,https://www.bigbasket.com/media/uploads/p/l/102854_8-good-knight-maha-jumbo-coil.jpg
GCPL-GK-017,Goodknight Maha Jumbo Mosquito Coil (Pack of 2),Goodknight,Home Care,Household Insecticides,20 Coils,76.00,70.00,Double pack of 12-hour low smoke coils for outdoor and indoor use,https://www.bigbasket.com/media/uploads/p/l/102855_8-good-knight-maha-jumbo-coil-pack-of-2.jpg
GCPL-GK-018,Goodknight Low Smoke Mosquito Coil,Goodknight,Home Care,Household Insecticides,10 Coils,35.00,33.00,Anti-mosquito spiral coil designed to emit 80% less smoke,https://www.bigbasket.com/media/uploads/p/l/102856_8-good-knight-low-smoke-coil.jpg
GCPL-GK-019,Goodknight Low Smoke Mosquito Coil (Pack of 5),Goodknight,Home Care,Household Insecticides,50 Coils,175.00,160.00,Bumper pack of 50 low smoke mosquito coils for clean air,https://www.bigbasket.com/media/uploads/p/l/102857_8-good-knight-low-smoke-coil-pack-of-5.jpg
GCPL-GK-020,Goodknight Activ+ Lavender Scented Mosquito Coil,Goodknight,Home Care,Household Insecticides,10 Coils,40.00,38.00,Mosquito coils infused with refreshing lavender fragrance for dynamic aroma,https://www.bigbasket.com/media/uploads/p/l/102858_8-good-knight-lavender-coil.jpg
GCPL-GK-021,Goodknight Activ+ Jasmine Scented Mosquito Coil,Goodknight,Home Care,Household Insecticides,10 Coils,40.00,38.00,Mosquito coils infused with rich jasmine floral scent,https://www.bigbasket.com/media/uploads/p/l/102859_8-good-knight-jasmine-coil.jpg
GCPL-GK-022,Goodknight Fabric Roll-On Citrus Fragrance,Goodknight,Home Care,Personal Repellents,8 ml,75.00,70.00,100% natural personal repellent roll-on with fresh citrus fragrance,https://www.bigbasket.com/media/uploads/p/l/40118314_1-good-knight-fabric-roll-on-citrus.jpg
GCPL-GK-023,Goodknight Fabric Roll-On Mild Bloom Fragrance,Goodknight,Home Care,Personal Repellents,8 ml,75.00,70.00,Pediatrician certified fabric roll-on with soft floral scent,https://www.bigbasket.com/media/uploads/p/l/40118315_1-good-knight-fabric-roll-on-mild-bloom.jpg
GCPL-GK-024,Goodknight Fabric Roll-On Citrus Fragrance (Pack of 2),Goodknight,Home Care,Personal Repellents,2 x 8 ml,150.00,135.00,Twin pack of citrus fabric roll-ons for dual outdoor shield,https://www.bigbasket.com/media/uploads/p/l/40118316_1-good-knight-fabric-roll-on-citrus-pack-of-2.jpg
GCPL-GK-025,Goodknight Fabric Roll-On Mild Bloom (Pack of 2),Goodknight,Home Care,Personal Repellents,2 x 8 ml,150.00,135.00,Twin pack of floral mild bloom fabric roll-ons,https://www.bigbasket.com/media/uploads/p/l/40118317_1-good-knight-fabric-roll-on-mild-bloom-pack-of-2.jpg
GCPL-GK-026,Goodknight Fabric Roll-On Citrus Fragrance Large,Goodknight,Home Care,Personal Repellents,15 ml,120.00,110.00,Standard large capacity citrus fabric roll-on,https://www.bigbasket.com/media/uploads/p/l/40118318_1-good-knight-fabric-roll-on-citrus-15ml.jpg
GCPL-GK-027,Goodknight Fabric Roll-On Mild Bloom Fragrance Large,Goodknight,Home Care,Personal Repellents,15 ml,120.00,110.00,Standard large capacity floral fabric roll-on,https://www.bigbasket.com/media/uploads/p/l/40118319_1-good-knight-fabric-roll-on-mild-bloom-15ml.jpg
GCPL-GK-028,Goodknight Mosquito Repellent Patches (Pack of 10),Goodknight,Home Care,Personal Repellents,10 Patches,40.00,38.00,100% natural mosquito repellent patches designed with cartoon characters for kids,https://www.bigbasket.com/media/uploads/p/l/40121112_1-good-knight-patches-pack-of-10.jpg
GCPL-GK-029,Goodknight Mosquito Repellent Patches (Pack of 24),Goodknight,Home Care,Personal Repellents,24 Patches,90.00,82.00,Family pack of natural mosquito patches,https://www.bigbasket.com/media/uploads/p/l/40121113_1-good-knight-patches-pack-of-24.jpg
GCPL-GK-030,Goodknight Mosquito Repellent Patches (Pack of 50),Goodknight,Home Care,Personal Repellents,50 Patches,180.00,160.00,Bulk box of mosquito repellent patches,https://www.bigbasket.com/media/uploads/p/l/40121114_1-good-knight-patches-pack-of-50.jpg
GCPL-GK-031,Goodknight Cool Gel Mosquito Repellent,Goodknight,Home Care,Personal Repellents,50 g,75.00,70.00,Non-sticky personal repellent gel with aloe vera extract,https://www.bigbasket.com/media/uploads/p/l/40118312_1-good-knight-cool-gel-aloe-vera.jpg
GCPL-GK-032,Goodknight Cool Gel Mosquito Repellent Tube,Goodknight,Home Care,Personal Repellents,100 g,140.00,125.00,Large size non-sticky aloe vera personal repellent gel,https://www.bigbasket.com/media/uploads/p/l/40118313_1-good-knight-cool-gel-aloe-vera-100g.jpg
GCPL-GK-033,Goodknight Mosquito Repellent Cream Classic,Goodknight,Home Care,Personal Repellents,50 g,65.00,60.00,Skin-friendly cream base outdoor personal protection,https://www.bigbasket.com/media/uploads/p/l/40118314_1-good-knight-repellent-cream.jpg
GCPL-GK-034,Goodknight Mosquito Repellent Cream Classic Tube,Goodknight,Home Care,Personal Repellents,100 g,120.00,108.00,Skin-safe repellent cream with pleasant fragrance in large tube,https://www.bigbasket.com/media/uploads/p/l/40118315_1-good-knight-repellent-cream-100g.jpg
GCPL-GK-035,Goodknight Naturals Neem Mosquito Repellent Spray,Goodknight,Home Care,Household Insecticides,150 ml,110.00,99.00,100% plant-based anti-mosquito aerosol room spray with active neem,https://www.bigbasket.com/media/uploads/p/l/40204137_1-good-knight-naturals-neem-anti-fly-surface-spray.jpg
GCPL-GK-036,Goodknight Naturals Neem Repellent Spray (Pack of 2),Goodknight,Home Care,Household Insecticides,2 x 150 ml,220.00,190.00,Twin saver pack of neem active indoor room sprays,https://www.bigbasket.com/media/uploads/p/l/40204138_1-good-knight-naturals-neem-spray-pack-of-2.jpg
GCPL-GK-037,Goodknight Mosquito Net Double Bed Classic Blue,Goodknight,Home Care,Mosquito Nets,1 Unit,999.00,799.00,Premium polyester mesh foldable net with zipper for double bed,https://www.bigbasket.com/media/uploads/p/l/40121115_1-good-knight-mosquito-net-double-blue.jpg
GCPL-GK-038,Goodknight Mosquito Net Double Bed Classic Pink,Goodknight,Home Care,Mosquito Nets,1 Unit,999.00,799.00,Pink foldable polyester mosquito net for double bed,https://www.bigbasket.com/media/uploads/p/l/40121116_1-good-knight-mosquito-net-double-pink.jpg
GCPL-GK-039,Goodknight Mosquito Net Single Bed Blue,Goodknight,Home Care,Mosquito Nets,1 Unit,799.00,599.00,Single bed entry pop-up net for easy setup,https://www.bigbasket.com/media/uploads/p/l/40121117_1-good-knight-mosquito-net-single-blue.jpg
GCPL-GK-040,Goodknight Mosquito Net Single Bed Pink,Goodknight,Home Care,Mosquito Nets,1 Unit,799.00,599.00,Single bed entry pop-up net in classic pink,https://www.bigbasket.com/media/uploads/p/l/40121118_1-good-knight-mosquito-net-single-pink.jpg
GCPL-GK-041,Goodknight Mosquito Net King Size Bed White,Goodknight,Home Care,Mosquito Nets,1 Unit,1199.00,949.00,Extra large white canopy net for king size beds,https://www.bigbasket.com/media/uploads/p/l/40121119_1-good-knight-mosquito-net-king-white.jpg
GCPL-GK-042,Goodknight Mosquito Net King Size Bed Blue,Goodknight,Home Care,Mosquito Nets,1 Unit,1199.00,949.00,Extra large blue canopy net for king size beds,https://www.bigbasket.com/media/uploads/p/l/40121120_1-good-knight-mosquito-net-king-blue.jpg
GCPL-GK-043,Goodknight Power Activ+ Scented Lavender Liquid Refill,Goodknight,Home Care,Household Insecticides,45 ml,90.00,82.00,Lavender scented dual mode mosquito repellent liquid refill,https://www.bigbasket.com/media/uploads/p/l/40121121_1-good-knight-power-activ-lavender-refill.jpg
GCPL-GK-044,Goodknight Power Activ+ Scented Jasmine Liquid Refill,Goodknight,Home Care,Household Insecticides,45 ml,90.00,82.00,Jasmine scented dual mode mosquito repellent liquid refill,https://www.bigbasket.com/media/uploads/p/l/40121122_1-good-knight-power-activ-jasmine-refill.jpg
